"student_gr","variety","fertype","conc","length","wetmass","startlength","startwetmass"
"gr_11","Bjarne","control","C0",17.1,0.156,13.18,0.074
"gr_11","Zebra","control","C0",16.2,0.1858,13.46,0.09
"gr_11","Olivin","control","C0",14.1,0.1518,9.6,0.073
"gr_11","Magifik","control","C0",15.4,0.154,15.6,0.099
"gr_11","Diamant","control","C0",24.6,0.2027,18.6,0.125
"gr_11","Oberkulmer","control","C0",24.9,0.2055,18,0.104
"gr_12","Bjarne","flow","C10",12.5,0.0937,13.5,0.083
"gr_12","Zebra","flow","C10",16,0.1881,16.4,0.126
"gr_12","Olivin","flow","C10",16.1,0.1789,12,0.094
"gr_12","Magifik","flow","C10",20.8,0.215,14.3,0.107
"gr_12","Diamant","flow","C10",25.9,0.2886,20.8,0.125
"gr_12","Oberkulmer","flow","C10",28.4,0.2551,17,0.1
"gr_12","Bjarne","flow","C1",17.7,0.1448,13.5,0.083
"gr_12","Zebra","flow","C1",16.2,0.161,16.4,0.126
"gr_12","Olivin","flow","C1",15.7,0.1646,12,0.094
"gr_12","Magifik","flow","C1",17.9,0.1825,14.3,0.107
"gr_12","Diamant","flow","C1",25.1,0.2056,20.8,0.125
"gr_12","Oberkulmer","flow","C1",28.3,0.2406,17,0.1
"gr_12","Bjarne","control","C0",18.2,0.1147,13.5,0.083
"gr_12","Zebra","control","C0",17.7,0.1764,16.4,0.126
"gr_12","Olivin","control","C0",15.5,0.1541,12,0.094
"gr_12","Magifik","control","C0",17.4,0.2247,14.3,0.107
"gr_12","Diamant","control","C0",25.2,0.3228,20.8,0.125
"gr_12","Oberkulmer","control","C0",25.2,0.2163,17,0.1
